model_id,mse,mse_no_coupling,delta_pct,source_file
bal_ETTh1_720_raw_k_g0.1,0.548258,0.543616,-0.85,grid_bal_ETTh1_720_raw_k_g0.1.json
bal_ETTh1_720_raw_k_g0.5,0.537692,0.576222,+7.17,grid_bal_ETTh1_720_raw_k_g0.5.json
bal_ETTh1_720_raw_k_g1.0,0.546951,0.622302,+13.78,grid_bal_ETTh1_720_raw_k_g1.0.json
bal_ETTh1_720_softmax_g0.1,0.550772,0.546268,-0.82,grid_bal_ETTh1_720_softmax_g0.1.json
bal_ETTh1_720_softmax_g0.5,0.537799,0.567302,+5.49,grid_bal_ETTh1_720_softmax_g0.5.json
bal_ETTh1_720_softmax_g1.0,0.551349,0.598426,+8.54,grid_bal_ETTh1_720_softmax_g1.0.json
bal_ETTh1_96_raw_k_g0.1,0.375272,0.378281,+0.80,grid_bal_ETTh1_96_raw_k_g0.1.json
bal_ETTh1_96_raw_k_g0.5,0.375576,0.464301,+23.62,grid_bal_ETTh1_96_raw_k_g0.5.json
bal_ETTh1_96_raw_k_g1.0,0.375869,0.549621,+46.23,grid_bal_ETTh1_96_raw_k_g1.0.json
bal_ETTh1_96_softmax_g0.1,0.375067,0.377662,+0.69,grid_bal_ETTh1_96_softmax_g0.1.json
bal_ETTh1_96_softmax_g0.5,0.377642,0.466555,+23.54,grid_bal_ETTh1_96_softmax_g0.5.json
bal_ETTh1_96_softmax_g1.0,0.383633,0.600163,+56.44,grid_bal_ETTh1_96_softmax_g1.0.json
bal_Exchange_192_raw_k_g0.1,0.183023,0.183598,+0.31,grid_bal_Exchange_192_raw_k_g0.1.json
bal_Exchange_192_raw_k_g0.5,0.187316,0.183364,-2.11,grid_bal_Exchange_192_raw_k_g0.5.json
bal_Exchange_192_raw_k_g1.0,0.184701,0.186250,+0.84,grid_bal_Exchange_192_raw_k_g1.0.json
bal_Exchange_192_softmax_g0.1,0.184750,0.184244,-0.27,grid_bal_Exchange_192_softmax_g0.1.json
bal_Exchange_192_softmax_g0.5,0.188152,0.182863,-2.81,grid_bal_Exchange_192_softmax_g0.5.json
bal_Exchange_192_softmax_g1.0,0.198159,0.181860,-8.23,grid_bal_Exchange_192_softmax_g1.0.json
bal_Weather_96_raw_k_g0.1,0.157921,0.164479,+4.15,grid_bal_Weather_96_raw_k_g0.1.json
bal_Weather_96_raw_k_g0.5,0.159026,0.317723,+99.79,grid_bal_Weather_96_raw_k_g0.5.json
bal_Weather_96_raw_k_g1.0,0.158566,0.336999,+112.53,grid_bal_Weather_96_raw_k_g1.0.json
bal_Weather_96_softmax_g0.1,0.157162,0.164376,+4.59,grid_bal_Weather_96_softmax_g0.1.json
bal_Weather_96_softmax_g0.5,0.158243,0.311999,+97.17,grid_bal_Weather_96_softmax_g0.5.json
